"dist_geo","pixel_num_1","pixel_num_2","pixel_1_ID","pixel_2_ID","combined","summary_pairwise","ID","type","p1","p2","region1","region2","region_pair","log_dist","Gst_standard"
"1",355007.233408089,1,2,"2874","3175","2874_3175",0.0548,"Gst_2874_3175","Gst","2874",3175,"C","C","C",12.7798934440474,0.0579771476936098
"2",238139.787548453,1,3,"2874","3176","2874_3176",0.0779,"Gst_2874_3176","Gst","2874",3176,"C","C","C",12.380613122876,0.0844810758052272
"3",447139.178469626,1,4,"2874","3277","2874_3277",0.0518,"Gst_2874_3277","Gst","2874",3277,"C","C","C",13.0106251863624,0.0546298249314491
"4",377622.604919361,1,5,"2874","3279","2874_3279",0.0449,"Gst_2874_3279","Gst","2874",3279,"C","C","C",12.8416505761845,0.0470107842110774
"5",278691.241704743,1,6,"2874","3283","2874_3283",0.0387,"Gst_2874_3283","Gst","2874",3283,"C","C","C",12.5378597874461,0.040257983980027
"6",368449.57227811,1,7,"2874","3383","2874_3383",0.0489,"Gst_2874_3383","Gst","2874",3383,"C","C","C",12.8170591353263,0.0514141520344864
"7",428767.748060147,1,8,"2874","3487","2874_3487",0.0404,"Gst_2874_3487","Gst","2874",3487,"C","C","C",12.968670671498,0.0421008753647353
"8",500299.519934823,1,9,"2874","3590","2874_3590",0.0435,"Gst_2874_3590","Gst","2874",3590,"C","C","C",13.1229622379212,0.0454783063251437
"9",563257.098599315,1,10,"2874","3691","2874_3691",0.0529,"Gst_2874_3691","Gst","2874",3691,"C","C","C",13.2414914611433,0.0558547143912998
"10",596257.212610188,1,11,"2874","3692","2874_3692",0.0368,"Gst_2874_3692","Gst","2874",3692,"C","C","C",13.2984274177324,0.0382059800664452
"11",785300.511253771,1,12,"2874","3896","2874_3896",0.0402,"Gst_2874_3896","Gst","2874",3896,"C","M","MC",13.5738217403926,0.0418837257762034
"12",762627.060097261,1,13,"2874","3897","2874_3897",0.0478,"Gst_2874_3897","Gst","2874",3897,"C","M","MC",13.5445244097746,0.0501995379122033
"13",819692.527074159,1,14,"2874","3898","2874_3898",0.0638,"Gst_2874_3898","Gst","2874",3898,"C","M","MC",13.61668458194,0.0681478316599017
"14",1103702.67402438,1,15,"2874","4202","2874_4202",0.0509,"Gst_2874_4202","Gst","2874",4202,"C","E","CE",13.9141811525399,0.0536297545042672
"15",1201172.2668708,1,16,"2874","4409","2874_4409",0.0478,"Gst_2874_4409","Gst","2874",4409,"C","E","CE",13.9988085269716,0.0501995379122033
"16",1173782.99982349,1,17,"2874","4410","2874_4410",0.0469,"Gst_2874_4410","Gst","2874",4410,"C","E","CE",13.975742423975,0.0492078480747036
"17",1256606.54142512,1,18,"2874","4513","2874_4513",0.0435,"Gst_2874_4513","Gst","2874",4513,"C","E","CE",14.0439254245917,0.0454783063251437
"18",1511833.09054967,1,19,"2874","4821","2874_4821",0.0573,"Gst_2874_4821","Gst","2874",4821,"C","E","CE",14.2288334397801,0.0607828577490188
"19",1680311.00602632,1,20,"2874","5026","2874_5026",0.0424,"Gst_2874_5026","Gst","2874",5026,"C","E","CE",14.3344894568811,0.0442773600668337
"20",1619185.55221374,1,21,"2874","5028","2874_5028",0.028,"Gst_2874_5028","Gst","2874",5028,"C","E","CE",14.2974338352426,0.0288065843621399
"21",123738.089885639,2,3,"3175","3176","3175_3176",0.0687,"Gst_3175_3176","Gst","3175",3176,"C","C","C",11.7259224324509,0.0737678513905294
"22",92694.5950079262,2,4,"3175","3277","3175_3277",0.0329,"Gst_3175_3277","Gst","3175",3277,"C","C","C",11.437065443575,0.0340192327577293
"23",42181.2349756103,2,5,"3175","3279","3175_3279",0.0337,"Gst_3175_3279","Gst","3175",3279,"C","C","C",10.6497307323052,0.034875297526648
"24",119355.176268164,2,6,"3175","3283","3175_3283",0.0376,"Gst_3175_3283","Gst","3175",3283,"C","C","C",11.689859001318,0.0390689941812136
"25",108066.565359652,2,7,"3175","3383","3175_3383",0.0427,"Gst_3175_3383","Gst","3175",3383,"C","C","C",11.5905026621659,0.0446046171524078
