Well,Sample_Name,Target_Name,Task,Reporter,Quencher,CT
A1,cpMMF02,YLS8,UNKNOWN,SYBR,None,19.85229111
A2,cpMMF02,YLS8,UNKNOWN,SYBR,None,19.83102608
A3,cpMMF02,YLS8,UNKNOWN,SYBR,None,19.8272171
A4,cpMMF02,aDNA15-16,UNKNOWN,SYBR,None,6.905646801
A5,cpMMF02,aDNA15-16,UNKNOWN,SYBR,None,6.590663433
A6,cpMMF02,aDNA15-16,UNKNOWN,SYBR,None,6.962839127
A7,gMMF02,YLS8,UNKNOWN,SYBR,None,20.60134315
A8,gMMF02,YLS8,UNKNOWN,SYBR,None,19.50295258
A9,gMMF02,YLS8,UNKNOWN,SYBR,None,17.97514725
A10,gMMF02,aDNA15-16,UNKNOWN,SYBR,None,10.73158169
A11,gMMF02,aDNA15-16,UNKNOWN,SYBR,None,8.302443504
A12,gMMF02,aDNA15-16,UNKNOWN,SYBR,None,8.53345871
B1,cpMMF32,YLS8,UNKNOWN,SYBR,None,20.66771698
B2,cpMMF32,YLS8,UNKNOWN,SYBR,None,18.81901169
B3,cpMMF32,YLS8,UNKNOWN,SYBR,None,18.16863251
B4,cpMMF32,aDNA15-16,UNKNOWN,SYBR,None,5.608474255
B5,cpMMF32,aDNA15-16,UNKNOWN,SYBR,None,5.560562611
B6,cpMMF32,aDNA15-16,UNKNOWN,SYBR,None,4.963257313
B7,gMMF32,YLS8,UNKNOWN,SYBR,None,20.88455963
B8,gMMF32,YLS8,UNKNOWN,SYBR,None,20.31113052
B9,gMMF32,YLS8,UNKNOWN,SYBR,None,18.92272758
B10,gMMF32,aDNA15-16,UNKNOWN,SYBR,None,8.643028259
B11,gMMF32,aDNA15-16,UNKNOWN,SYBR,None,8.56491375
B12,gMMF32,aDNA15-16,UNKNOWN,SYBR,None,8.020415306
C1,cpALB05,YLS8,UNKNOWN,SYBR,None,21.7971096
C2,cpALB05,YLS8,UNKNOWN,SYBR,None,20.92185974
C3,cpALB05,YLS8,UNKNOWN,SYBR,None,20.14015007
C4,cpALB05,aDNA15-16,UNKNOWN,SYBR,None,8.153153419
C5,cpALB05,aDNA15-16,UNKNOWN,SYBR,None,7.923267365
C6,cpALB05,aDNA15-16,UNKNOWN,SYBR,None,6.604738235
C7,gALB05,YLS8,UNKNOWN,SYBR,None,19.63988876
C8,gALB05,YLS8,UNKNOWN,SYBR,None,18.89361382
C9,gALB05,YLS8,UNKNOWN,SYBR,None,18.47250748
C10,gALB05,aDNA15-16,UNKNOWN,SYBR,None,8.934603691
C11,gALB05,aDNA15-16,UNKNOWN,SYBR,None,9.876189232
C12,gALB05,aDNA15-16,UNKNOWN,SYBR,None,15.97365093
E1,cpWHI05,YLS8,UNKNOWN,SYBR,None,20.31497192
E2,cpWHI05,YLS8,UNKNOWN,SYBR,None,19.88384438
E3,cpWHI05,YLS8,UNKNOWN,SYBR,None,19.55464935
E4,cpWHI05,aDNA15-16,UNKNOWN,SYBR,None,6.505674839
E5,cpWHI05,aDNA15-16,UNKNOWN,SYBR,None,6.291257381
E6,cpWHI05,aDNA15-16,UNKNOWN,SYBR,None,6.120871067
E7,gWHI05,YLS8,UNKNOWN,SYBR,None,19.98666763
E8,gWHI05,YLS8,UNKNOWN,SYBR,None,19.69214058
E9,gWHI05,YLS8,UNKNOWN,SYBR,None,19.23400688
E10,gWHI05,aDNA15-16,UNKNOWN,SYBR,None,8.881425858
E11,gWHI05,aDNA15-16,UNKNOWN,SYBR,None,8.848484039
E12,gWHI05,aDNA15-16,UNKNOWN,SYBR,None,8.732871056
F1,cpBER02,YLS8,UNKNOWN,SYBR,None,19.54490662
F2,cpBER02,YLS8,UNKNOWN,SYBR,None,18.68992424
F3,cpBER02,YLS8,UNKNOWN,SYBR,None,18.2031517
F4,cpBER02,aDNA15-16,UNKNOWN,SYBR,None,6.33204937
F5,cpBER02,aDNA15-16,UNKNOWN,SYBR,None,5.801805019
F6,cpBER02,aDNA15-16,UNKNOWN,SYBR,None,5.495389462
F7,gBER02,YLS8,UNKNOWN,SYBR,None,19.53193092
F8,gBER02,YLS8,UNKNOWN,SYBR,None,18.63005257
F9,gBER02,YLS8,UNKNOWN,SYBR,None,Undetermined
F10,gBER02,aDNA15-16,UNKNOWN,SYBR,None,8.969938278
F11,gBER02,aDNA15-16,UNKNOWN,SYBR,None,8.903579712
F12,gBER02,aDNA15-16,UNKNOWN,SYBR,None,8.737243652
H1,,YLS8,NTC,SYBR,None,37.13051987
H2,,YLS8,NTC,SYBR,None,33.27091217
H4,,aDNA15-16,NTC,SYBR,None,Undetermined
H5,,aDNA15-16,NTC,SYBR,None,Undetermined
H6,,aDNA15-16,NTC,SYBR,None,30.88354874
